GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
Countries,DJI,Djibouti,2001,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,49
Countries,DJI,Djibouti,2000,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,50
Countries,DJI,Djibouti,2000,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
Countries,DMA,Dominica,2020,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,782,717,91.69
Countries,DMA,Dominica,2020,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,758,684,90.24
Countries,DMA,Dominica,2019,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,702,647,92
Countries,DMA,Dominica,2019,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,599,551,92
Countries,DMA,Dominica,2018,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,622,520,84
Countries,DMA,Dominica,2018,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,743,601,81
Countries,DMA,Dominica,2017,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,900,732,81
Countries,DMA,Dominica,2017,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,900,693,77
Countries,DMA,Dominica,2016,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,808,774,95.79
Countries,DMA,Dominica,2016,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,797,737,92.47
Countries,DMA,Dominica,2015,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,852,822,96.48
Countries,DMA,Dominica,2015,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,923,872,94.47
Countries,DMA,Dominica,2014,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,923,820,88.84
Countries,DMA,Dominica,2014,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,901,843,93.56
Countries,DMA,Dominica,2013,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,922,858,93.06
Countries,DMA,Dominica,2013,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,983,891,90.64
Countries,DMA,Dominica,2012,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,906,851,93.93
Countries,DMA,Dominica,2012,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,896,885,98.77
Countries,DMA,Dominica,2011,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,938,931,99.25
Countries,DMA,Dominica,2011,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,957,1003,104.81
Countries,DMA,Dominica,2010,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,987,1125,113.98
Countries,DMA,Dominica,2010,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,960,965,100.52
Countries,DMA,Dominica,2009,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,889,847,95.28
Countries,DMA,Dominica,2009,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,976,1039,106.45
Countries,DMA,Dominica,2008,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,972,973,100
Countries,DMA,Dominica,2008,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,987,1003,101.62
Countries,DMA,Dominica,2007,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,900,855,95
Countries,DMA,Dominica,2007,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,996,960,96
Countries,DMA,Dominica,2006,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,998,998,102
Countries,DMA,Dominica,2006,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1043,1029,98.66
Countries,DMA,Dominica,2005,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,,,
Countries,DMA,Dominica,2005,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DMA,Dominica,2004,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1035,1026,99
Countries,DMA,Dominica,2004,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1035,1037,100
Countries,DMA,Dominica,2003,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1064,1018,95.68
Countries,DMA,Dominica,2002,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1167,,100
Countries,DMA,Dominica,2002,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DMA,Dominica,2001,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1203,601,62
Countries,DMA,Dominica,2001,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1203,1199,99.7
Countries,DMA,Dominica,2000,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1205,1266,105.06
Countries,DMA,Dominica,2000,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DMA,Dominica,2020,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,91.69
Countries,DMA,Dominica,2020,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,90.24
Countries,DMA,Dominica,2019,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,92
Countries,DMA,Dominica,2019,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,92
Countries,DMA,Dominica,2018,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,84
Countries,DMA,Dominica,2018,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,81
Countries,DMA,Dominica,2017,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,81
Countries,DMA,Dominica,2017,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,77
Countries,DMA,Dominica,2016,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,92.47
Countries,DMA,Dominica,2016,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,95.79
Countries,DMA,Dominica,2015,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,94.47
Countries,DMA,Dominica,2015,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96.48
Countries,DMA,Dominica,2014,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,89
Countries,DMA,Dominica,2014,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,94
Countries,DMA,Dominica,2013,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,90.6
Countries,DMA,Dominica,2013,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,93.1
Countries,DMA,Dominica,2012,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,93.9
Countries,DMA,Dominica,2012,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,98.8
Countries,DMA,Dominica,2011,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,104.8
Countries,DMA,Dominica,2011,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,99.3
Countries,DMA,Dominica,2010,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,114
Countries,DMA,Dominica,2010,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,100.5
Countries,DMA,Dominica,2009,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,106.5
Countries,DMA,Dominica,2009,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,95.3
Countries,DMA,Dominica,2008,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,101.6
Countries,DMA,Dominica,2008,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,100
Countries,DMA,Dominica,2007,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,95
Countries,DMA,Dominica,2007,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96
Countries,DMA,Dominica,2006,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,98.7
Countries,DMA,Dominica,2006,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,102
Countries,DMA,Dominica,2005,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DMA,Dominica,2005,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,98
Countries,DMA,Dominica,2004,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DMA,Dominica,2004,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,99
Countries,DMA,Dominica,2003,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,100
Countries,DMA,Dominica,2002,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,99
Countries,DMA,Dominica,2002,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,99
Countries,DMA,Dominica,2001,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,
Countries,DMA,Dominica,2001,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DMA,Dominica,2000,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,99.3
Countries,DMA,Dominica,2000,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DMA,Dominica,2020,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,90
Countries,DMA,Dominica,2020,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,92
Countries,DMA,Dominica,2019,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,92
Countries,DMA,Dominica,2019,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,92
Countries,DMA,Dominica,2018,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,84
Countries,DMA,Dominica,2018,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,81
Countries,DMA,Dominica,2017,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,77
Countries,DMA,Dominica,2017,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,81
Countries,DMA,Dominica,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,92
Countries,DMA,Dominica,2016,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,96
Countries,DMA,Dominica,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,94
Countries,DMA,Dominica,2015,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,96
Countries,DMA,Dominica,2014,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,94
Countries,DMA,Dominica,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,89
Countries,DMA,Dominica,2013,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,93
Countries,DMA,Dominica,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,91
Countries,DMA,Dominica,2012,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,94
Countries,DMA,Dominica,2011,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2011,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,94
Countries,DMA,Dominica,2010,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,95
Countries,DMA,Dominica,2010,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2009,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,95
Countries,DMA,Dominica,2009,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2008,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2008,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,95
Countries,DMA,Dominica,2007,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,95
Countries,DMA,Dominica,2007,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,96
Countries,DMA,Dominica,2006,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,97
Countries,DMA,Dominica,2006,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2005,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2005,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,98
Countries,DMA,Dominica,2004,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2004,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2003,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2003,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2002,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2002,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2001,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,62
Countries,DMA,Dominica,2001,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DMA,Dominica,2000,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
Countries,DMA,Dominica,2000,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,99
Countries,DOM,Dominican Republic,2020,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,189790,104242,54.92
Countries,DOM,Dominican Republic,2020,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,189790,156096,82.25
Countries,DOM,Dominican Republic,2019,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,190554,187272,96
Countries,DOM,Dominican Republic,2019,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,190554,114115,60
Countries,DOM,Dominican Republic,2018,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,191614,59585,31
Countries,DOM,Dominican Republic,2018,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,191614,182863,95
Countries,DOM,Dominican Republic,2017,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,192611,166045,86
Countries,DOM,Dominican Republic,2017,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2016,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,194028,165246,85.17
Countries,DOM,Dominican Republic,2016,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2015,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2015,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,194377,174607,89.83
Countries,DOM,Dominican Republic,2014,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,0,0,
Countries,DOM,Dominican Republic,2014,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,195226,170584,87.38
Countries,DOM,Dominican Republic,2013,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,0,0,
Countries,DOM,Dominican Republic,2013,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,209732,174836,83.36
Countries,DOM,Dominican Republic,2012,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2012,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,209731,183933.7,87.7
Countries,DOM,Dominican Republic,2011,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,0,0,
Countries,DOM,Dominican Republic,2011,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,212567,186081,87.54
Countries,DOM,Dominican Republic,2010,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,213630,186438,87.27
Countries,DOM,Dominican Republic,2010,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2009,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,210808,189180,89.74
Countries,DOM,Dominican Republic,2009,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,210808,0,
Countries,DOM,Dominican Republic,2008,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2008,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,208311,196766,95
Countries,DOM,Dominican Republic,2007,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,209867,123177,90
Countries,DOM,Dominican Republic,2007,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2006,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,0,0,
Countries,DOM,Dominican Republic,2006,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,193608,197411,102
Countries,DOM,Dominican Republic,2005,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2005,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,190194,198770,104.5
Countries,DOM,Dominican Republic,2004,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,216583,132567,61
Countries,DOM,Dominican Republic,2004,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2003,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2003,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,224346,202604,90.03
Countries,DOM,Dominican Republic,2002,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,195053,178663,91.6
Countries,DOM,Dominican Republic,2002,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,DOM,Dominican Republic,2000,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,872366,,
Countries,DOM,Dominican Republic,2000,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,219063,192775,87.9
Countries,DOM,Dominican Republic,2020,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,54.92
Countries,DOM,Dominican Republic,2020,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,82.25
Countries,DOM,Dominican Republic,2019,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60
Countries,DOM,Dominican Republic,2019,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96
Countries,DOM,Dominican Republic,2018,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,95
Countries,DOM,Dominican Republic,2018,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,31
Countries,DOM,Dominican Republic,2017,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2017,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,86
Countries,DOM,Dominican Republic,2016,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,85.17
Countries,DOM,Dominican Republic,2016,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2015,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,89.83
Countries,DOM,Dominican Republic,2015,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2014,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2014,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,88
Countries,DOM,Dominican Republic,2013,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,83.36
Countries,DOM,Dominican Republic,2013,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2012,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,87.7
Countries,DOM,Dominican Republic,2012,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2011,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2011,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,87.7
Countries,DOM,Dominican Republic,2010,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2010,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,88
Countries,DOM,Dominican Republic,2009,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,0
Countries,DOM,Dominican Republic,2009,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,89
Countries,DOM,Dominican Republic,2008,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96
Countries,DOM,Dominican Republic,2008,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2007,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2007,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96
Countries,DOM,Dominican Republic,2006,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,102
Countries,DOM,Dominican Republic,2006,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2005,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,105
Countries,DOM,Dominican Republic,2005,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2004,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,94
Countries,DOM,Dominican Republic,2004,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,33.16
Countries,DOM,Dominican Republic,2003,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,84
Countries,DOM,Dominican Republic,2003,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2002,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2002,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,92
Countries,DOM,Dominican Republic,2001,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,98
Countries,DOM,Dominican Republic,2000,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,87.9
Countries,DOM,Dominican Republic,2000,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,DOM,Dominican Republic,2020,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,82
Countries,DOM,Dominican Republic,2020,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,55
Countries,DOM,Dominican Republic,2019,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,96
Countries,DOM,Dominican Republic,2019,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,60
Countries,DOM,Dominican Republic,2018,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,31
Countries,DOM,Dominican Republic,2018,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,95
Countries,DOM,Dominican Republic,2017,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
Countries,DOM,Dominican Republic,2017,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,86
Countries,DOM,Dominican Republic,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
